element,metdata
title,The influence of shrub density on local vertebrate association across varying ecosystems
dataset_authors,"Zuliani, Ghazian, Lortie"
purpose,Deploy cameras at high and no density plots across a 3 varying arid ecosystems
n_days,28
n_cams,48
n_cams_moves,0
n_sites,6
join_by,site
variables,high and no shrub density plots
