year,ID,recorder,file_name,region,site,tool,cam_date,day_sample,week,day,rep,plot,shrub_density,cam_ID,photo_rep,animal,RTU,actual_time,time_block,behavior,observation,notes,microsite
2022,1,Mario,DSCF0001,Carrizo,3,camera trap,21-May,1,1,1,1,1,high,1,1,,,,,,,,shrub
2022,2,Mario,DSCF0002,Carrizo,3,camera trap,21-May,1,1,1,2,1,high,1,2,,,,,,,,
