project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004862,Carrizo 3 Density 1 Cam 1,2dbf380d-530d-42ea-a622-081fde157b96,DSCF0043.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/2dbf380d-530d-42ea-a622-081fde157b96.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-11 18:45:48,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,7a13c13f-e65d-4370-b187-5dd126fe2c53,DSCF0044.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/7a13c13f-e65d-4370-b187-5dd126fe2c53.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-11 19:33:32,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,a609c06d-ea15-4f4a-8380-64d6cbd55f64,DSCF0045.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/a609c06d-ea15-4f4a-8380-64d6cbd55f64.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-11 19:54:37,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,132cbcf5-ab30-400f-bab1-fc4ae9cf7dc8,DSCF0046.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/132cbcf5-ab30-400f-bab1-fc4ae9cf7dc8.JPG,1,Mario Zuliani,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-11 22:02:19,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,dc519109-0a6c-498b-85b6-ca0006df010e,DSCF0047.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/dc519109-0a6c-498b-85b6-ca0006df010e.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-11 22:09:19,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,70036a66-f00b-4ba9-a9bf-55b06e6e34e4,DSCF0048.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/70036a66-f00b-4ba9-a9bf-55b06e6e34e4.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-11 22:10:20,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,66d94eb7-ed59-4eba-8a27-cee476416c79,DSCF0049.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/66d94eb7-ed59-4eba-8a27-cee476416c79.JPG,0,Mario Zuliani,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-12 01:48:48,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,8e400203-5e1c-466d-aec2-598a56898294,DSCF0050.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/8e400203-5e1c-466d-aec2-598a56898294.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-12 15:39:55,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,1973fb1a-dada-44c2-90e3-822e21a50a9c,DSCF0051.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/1973fb1a-dada-44c2-90e3-822e21a50a9c.JPG,1,Mario Zuliani,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-12 16:37:00,1,,,,,,,false,,,CC0
2004862,Carrizo 3 Density 1 Cam 1,293d9970-c436-42e0-9589-bbbd7f7791b9,DSCF0052.JPG,gs://145625598251_2004862_978_cam_traps_carrizo_20__main/deployment/2211685/prod/directUpload/293d9970-c436-42e0-9589-bbbd7f7791b9.JPG,0,Mario Zuliani,583c7fae-59f0-40f1-9ce7-484717f2f0ad,Mammalia,Rodentia,Heteromyidae,Dipodomys,,Dipodomys Species,,2021-01-12 17:05:42,1,,,,,,,false,,,CC0
